"Country name","Regional indicator","Ladder score","Standard error of ladder score","upperwhisker","lowerwhisker","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Ladder score in Dystopia","Explained by: Log GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption","Dystopia + residual"
"Finland","Western Europe",7.84210014343262,0.0316457226872444,7.90412569046021,7.78007459640503,10.7752017974854,0.953603386878967,72,0.949267864227295,-0.0977602750062943,0.185845732688904,2.43034291267395,1.44635629653931,1.10619151592255,0.740823805332184,0.690576612949371,0.124200455844402,0.480523973703384,3.25341463088989
"Denmark","Western Europe",7.61950016021729,0.0346570797264576,7.68742799758911,7.55157232284546,10.9331760406494,0.954409539699554,72.6997528076172,0.945638537406921,0.0301088932901621,0.178838446736336,2.43034291267395,1.50154805183411,1.10800766944885,0.76286244392395,0.686160326004028,0.207614570856094,0.484992682933807,2.86829614639282
"Switzerland","Western Europe",7.57149982452393,0.0362430177628994,7.64253616333008,7.50046348571777,11.1173677444458,0.941741824150085,74.4001007080078,0.918788194656372,0.0246291942894459,0.291698485612869,2.43034291267395,1.56589937210083,1.07946860790253,0.816414833068848,0.653487920761108,0.204039961099625,0.413019061088562,2.83914756774902
"Iceland","Western Europe",7.55389976501465,0.05937335267663,7.67027139663696,7.43752813339233,10.8777675628662,0.982937872409821,73,0.955122768878937,0.160273998975754,0.672864675521851,2.43034291267395,1.48218989372253,1.17227923870087,0.772318720817566,0.697701156139374,0.292526423931122,0.169939950108528,2.96694469451904
"Netherlands","Western Europe",7.46400022506714,0.0273260287940502,7.51755905151367,7.41044139862061,10.931812286377,0.941600859165192,72.4001159667969,0.913115561008453,0.175404414534569,0.337937772274017,2.43034291267395,1.50107157230377,1.07915103435516,0.753425419330597,0.64658534526825,0.302396565675735,0.383531123399734,2.79781770706177
"Norway","Western Europe",7.39249992370605,0.0354485735297203,7.46197891235352,7.32302093505859,11.053126335144,0.954445123672485,73.3000106811523,0.959588408470154,0.093425564467907,0.270027816295624,2.43034291267395,1.54345524311066,1.10808789730072,0.781767547130585,0.703135013580322,0.248918548226357,0.426838964223862,2.58030080795288
"Sweden","Western Europe",7.36269998550415,0.0356995724141598,7.43267107009888,7.29272890090942,10.8669948577881,0.933805227279663,72.7000503540039,0.944604098796844,0.0862229317426682,0.237460002303123,2.43034291267395,1.47842621803284,1.06158828735352,0.762871861457825,0.684901654720306,0.244219973683357,0.447608262300491,2.68309307098389
"Luxembourg","Western Europe",7.32439994812012,0.0366851687431335,7.39630270004272,7.25249719619751,11.6465644836426,0.907789885997772,72.5999984741211,0.907179832458496,-0.0335662104189396,0.38641881942749,2.43034291267395,1.75078558921814,1.00297832489014,0.759720683097839,0.639362514019012,0.16607677936554,0.352613538503647,2.65286636352539
"New Zealand","North America and ANZ",7.2765998840332,0.0401858054101467,7.3553638458252,7.19783592224121,10.6427125930786,0.948147714138031,73.400146484375,0.928579688072205,0.134256049990654,0.241641148924828,2.43034291267395,1.40006828308105,1.09390044212341,0.784921288490295,0.665402591228485,0.27555388212204,0.444941848516464,2.61180114746094
"Austria","Western Europe",7.26779985427856,0.0355227068066597,7.33742427825928,7.19817543029785,10.9063158035278,0.934175550937653,73.2997207641602,0.907690584659576,0.0415682792663574,0.481377780437469,2.43034291267395,1.49216377735138,1.06242251396179,0.781758427619934,0.63998407125473,0.215089976787567,0.292055875062943,2.7842845916748
"Australia","North America and ANZ",7.18349981307983,0.0414204709231853,7.26468372344971,7.10231590270996,10.7956047058105,0.940149128437042,73.9000930786133,0.91364973783493,0.158529862761497,0.442291557788849,2.43034291267395,1.45348453521729,1.07588040828705,0.800667107105255,0.64723539352417,0.291388630867004,0.316982120275497,2.59785652160645
"Israel","Middle East and North Africa",7.15710020065308,0.0340890139341354,7.2239146232605,7.09028577804565,10.5747575759888,0.939231336116791,73.5032577514648,0.800026893615723,0.0306818801909685,0.753110885620117,2.43034291267395,1.3763267993927,1.07381272315979,0.788168787956238,0.508975207805634,0.207988351583481,0.118764959275723,3.08301401138306
"Germany","Western Europe",7.15450000762939,0.0396518670022488,7.23221778869629,7.0767822265625,10.8725471496582,0.903166472911835,72.5000991821289,0.875169932842255,0.0106403306126595,0.460144966840744,2.43034291267395,1.48036599159241,0.992562174797058,0.756574392318726,0.600411832332611,0.194914445281029,0.305596560239792,2.82402563095093
"Canada","North America and ANZ",7.10330009460449,0.0419088378548622,7.18544149398804,7.02115869522095,10.7761259078979,0.926157891750336,73.7998046875,0.91467696428299,0.0892951712012291,0.414686053991318,2.43034291267395,1.44667911529541,1.04435956478119,0.797508537769318,0.64848530292511,0.246224120259285,0.334586828947067,2.5854320526123
"Ireland","Western Europe",7.08529996871948,0.0403217934072018,7.16433048248291,7.00626945495605,11.3422861099243,0.947229206562042,72.3999862670898,0.879356801509857,0.077188566327095,0.36315593123436,2.43034291267395,1.64447939395905,1.0918310880661,0.753421366214752,0.605506539344788,0.238326519727707,0.367448836565018,2.38430452346802
"Costa Rica","Latin America and Caribbean",7.0693998336792,0.0557971112430096,7.17876195907593,6.96003770828247,9.87991905212402,0.891308486461639,71.3999252319336,0.934432029724121,-0.126468881964684,0.80875301361084,2.43034291267395,1.13356995582581,0.965847313404083,0.721924483776093,0.67252391576767,0.105472691357136,0.0832806006073952,3.38678383827209
"United Kingdom","Western Europe",7.06360006332397,0.0377590544521809,7.13760757446289,6.98959255218506,10.707142829895,0.93398380279541,72.5000915527344,0.858679473400116,0.233419939875603,0.459456622600555,2.43034291267395,1.42257845401764,1.06199049949646,0.756574153900146,0.580345630645752,0.34024241566658,0.306035548448563,2.59583473205566
